"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Park with Dog Run; No Off Leash (2403)","M","107","6","M071",,"XX-005","None / Free Standing",,"M071-ZN01","M-14","20","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","South Lawn","48391","Chinese","10023","POINT (-73.98290492404638 40.78490270638062)"
"Dog Run Interior (1902)","M","107","6","M071",,"XX-005","Chain Link Fence - 2""",,,"M-14","20","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","1902","1902-005","Installed","Consolidated Rules Sign",,,"Chinese","10023","POINT (-73.9874933896819 40.781119845082735)"
"Comfort Station  – M (1800)","B","303","36","B088",,"XX-006","Wall",,,"B-03","79","Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.","Herbert Von King Park","Spanish","1800","1800-006","Surveyed","Consolidated Rules Sign",,"31478","Yiddish","11216","POINT (-73.9467203194902 40.689817670016645)"
"Athletic Field / Court - Hours (1500)","B","303","36","B262",,"XX-006","Chain Link Fence - 2""",,,"B-03","79","Tompkins Ave. between Halsey St. and Macon St.","Potomac Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"31375","Yiddish","11216","POINT (-73.94392643723035 40.68239038385655)"
"Routed Sign","R","502","49","R064",,"XX-005","Chain Link Fence - 2""",,,"R-02","122","Schmidts La., Manor Rd. and Laguardia Ave.","Christopher J. Igneri Playground","Spanish",,,"Installed","Routed Sign",,,"Chinese","10314","POINT (-74.12020112101145 40.60883422136727)"
"Playground - Adults Allowed (2600)","X","227","15","X002","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)",,"Chain Link Fence - 2""","Ben Abrams Playground","X002-ZN01","X-14","49","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"2600","2600","Installed","Consolidated Rules Sign","Bronx Park Zone 1","33437",,"10462","POINT (-73.86980266425745 40.8543369836105)"
"Playground - Adults Allowed (2600)","X","209","18","X203","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-004",,,,"X-09","43","Randall Ave. bet. Olmstead Ave. and Castle Hill Ave.","Randall Playground","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"33931","Bengali","10473","POINT (-73.84994762413011 40.819333607846566)"
"Athletic Field / Court - Hours (1500)","Q","413","23","Q318",,"XX-007","Chain Link Fence - 2""",,,"Q-13","105","80 Ave. bet. 261 St. and 262 St.","Playground Eighty LXXX","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"27142","French Creole","11004","POINT (-73.70913689828002 40.74442945552215)"
"Athletic Field / Court - Hours (1500)","B","304","34","B340",,"XX-005","Chain Link Fence - 2""",,,"B-04","83","Flushing Ave. between Beaver St. and Garden St.","Garden Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"29272","Chinese","11206","POINT (-73.93837689053865 40.700785410254696)"
"Athletic Field - Synthetic Turf - Hours (1502)","M","111","8","M107",,"XX-005","Chain Link Fence - 2""",,"M107-ZN06","M-11R","25","East River and Hell Gate","Wards Island Park","Spanish","1502","1502-005","Installed","Consolidated Rules Sign","Wards Meadow","48244","Chinese","10035","POINT (-73.92840408692001 40.78414949641478)"
"Athletic Field / Court - Hours (1500)","Q","411","20","Q300A-ZN01",,"XX-016","Chain Link Fence - 2""",,"Q300A-ZN01","Q-08","111","Peck & Underhill Aves, Utopia Pkwy, Horace Harding","Kissena Corridor Park","Chinese","1500","1500-016","Installed","Consolidated Rules Sign","Kissena Corridor East Zone 1",,"Korean","11365","POINT (-73.7911744448798 40.74621880028971)"
"Beach","Q","414","32","Q164",,"XX-008","Wall",,,"Q-14","100","Atlantic Ocean bet. B. 149 St. and B. 126 St.","Rockaway Beach","Spanish",,,"Installed","Consolidated Rules Sign",,"29016","Russian","11694","POINT (-73.86052757736364 40.56856983866833)"
"Trail With Hours / Exterior (3201)","R","503","51","R119",,"XX-017","None / Free Standing",,,"R-03","123","Amboy Rd., Barclay Ave., Hylan Blvd. and Bertram Ave.","Blue Heron Park","Russian","3201","3201-017","Installed","Consolidated Rules Sign",,"32354","Italian","10312","POINT (-74.16760922052228 40.53562583406468)"
"Playground - Children Only (2601)","M","164","6","M010","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)",,"Wrought Iron / Steep Picket Fence",,"M010-ZN29","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2601","2601","Surveyed","Consolidated Rules Sign","79th St Yard And Summit Rock","48786",,"83","POINT (-73.96949167092986 40.78396147960992)"
"Triangles, Squares and Sitting Areas Rules","B","315","48","B094",,"XX-015","None / Free Standing",,,"B-15","61","E. 12 St., Kings Hwy., Quentin Rd.","Sgt. Joyce Kilmer Square","Chinese",,,"Surveyed","Consolidated Rules Sign",,,"Russian","11229","POINT (-73.9605449048873 40.60791616064825)"
"GT Garden (2000)","B","305","37","B491",,"XX-008","Chain Link Fence - 2""",,,"B-05","75","79-85 Montauk St","Shield Of Faith","Spanish","2000","2000-008","Installed","Consolidated Rules Sign",,,"Russian","11208","POINT (-73.8787172299513 40.67747343409811)"
"GT Garden (2000)","B","302","35","B582",,"XX-005","Chain Link Fence - 2""",,,"B-02","88","Lefferts Pl. bet. Grand Ave. and St. James Pl.","Brooklyn's Finest Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","11238","POINT (-73.96183440309282 40.68144824519078)"
"Park without Dog Run; Off-Leash OK (2402)","Q","481","21","Q099",,,"None / Free Standing",,"Q099-ZN05","Q-15","110","Grand Central Pkwy, Van Wyck Exwy","Flushing Meadows Corona Park",,"2402","2402","Installed","Consolidated Rules Sign","New York City Bldg",,,"11368","POINT (-73.8468309898234 40.746637534470175)"
"Comfort Station – M + Accessible + Family (1810)","Q","404","25","Q360J",,"XX-005","Wall",,,"Q-04","110","Queens Midtown Exwy., 57 Ave. bet. 84 St. and 82 St.","Crowley Playground","Spanish","1810","1810-005","Installed","Consolidated Rules Sign",,,"Chinese","11373","POINT (-73.87981100757494 40.729333435944675)"
"Comfort Station  – M (1800)","X","203","17","X010",,"XX-001","Wall",,,"X-03","42","Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona Park","Spanish","1800","1800-001","Installed","Consolidated Rules Sign",,"33214","French","10457","POINT (-73.89741772031124 40.84056998953791)"
"Comfort Station – M + Accessible (1803)","Q","414","32","Q422",,"XX-008","Wall",,,"Q-14","100","Rockaway Beach Blvd. bet. Beach 110 St. and Beach 109 St.","Seaside Playground","Spanish","1803","1803-008","Installed","Consolidated Rules Sign",,"27862","Russian","11694","POINT (-73.83049171562325 40.580757180074315)"
"Combo: Playground / Court (2602)","M","110","9","M216",,"XX-001","Chain Link Fence - 2""",,,"M-10","32","W. 155 St., 8 Ave. To Harlem River Drive","Holcombe Rucker Park","Spanish","2602","2602-001","Surveyed","Consolidated Rules Sign",,,"French","10039","POINT (-73.936581367826 40.829741142686956)"
"Athletic Field / Court - Hours (1500)","B","315","48","B239",,"XX-015","Chain Link Fence - 2""",,,"B-15","61","Ave. Z between Nostrand Ave. and E. 29 St.","Sheepshead Playground","Chinese","1500","1500-015","Installed","Consolidated Rules Sign",,"30978","Russian","11235","POINT (-73.94020414004399 40.58860763888787)"
"Park without Dog Run; No Off-Leash (2401)","Q","407","19","Q086",,"XX-005","None / Free Standing",,,"Q-07","109","149 St. bet. 25 Ave. and 26 Ave., 29 Ave. and Bayside Ave.","Flushing Fields","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"26713","Chinese","11354","POINT (-73.81657086072818 40.77158256371732)"
"Triangle No Rules - Routed (800)","Q","407","20","Q246",,"XX-005","None / Free Standing",,,"Q-07","109","Murray La., Murray St. bet. 34 Ave. and 35 Ave.","Travis Triangle","Spanish","800","800-005","Installed","Consolidated Rules Sign",,,"Chinese","11354","POINT (-73.8130517007619 40.766297774382416)"
"Park without Dog Run; Off-Leash OK (2402)","B","310","43","B052",,"XX-005","None / Free Standing",,"B052-03","B-10","68","67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy.","Leif Ericson Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign","Leif Ericson Park Playground","30641","Chinese","11220","POINT (-74.01160325323258 40.630329605578964)"
"Athletic Field - Synthetic Turf","B","304","37","B017",,"XX-005","Chain Link Fence - 2""",,,"B-04","83","Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.","Bushwick Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"29196","Chinese","11237","POINT (-73.91255848245306 40.69562387703415)"
"Dog Run With Hours / Exterior (1901)","B","301","34","B025","6:00 a.m. to 1:00 a.m.","XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","90","Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.","Cooper Park","Spanish","1901","1901-006","Installed","Consolidated Rules Sign",,,"Yiddish","11211","POINT (-73.9361606621664 40.71531633501538)"
"Athletic Field / Court - Hours (1500)","B","317","41","B304",,"XX-007","Chain Link Fence - 1""",,,"B-17","67","E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.","Kennedy King Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"30504","French Creole","11212","POINT (-73.92185919684704 40.65869797760098)"
"Playground - Children Only (2601)","B","309","40","B254",,"XX-007","Chain Link Fence - 2""",,,"B-09","71","Winthrop St., Brooklyn Ave., Rutland Rd.","Wingate Park","Spanish","2601","2601-007","Installed","Consolidated Rules Sign",,,"French Creole","11203","POINT (-73.9446647576238 40.65956170715244)"
"Trail With Hours / Exterior (3201)","R","502","50","R013",,"XX-005","None / Free Standing",,"R065-ZN02","R-02","122","Forest Hill & London Rds, Rockland Ave","LaTourette Park & Golf Course","Spanish","3201","3201-005","Installed","Consolidated Rules Sign","Reed's Basket Willow's Swamp",,"Chinese","10304","POINT (-74.1038118984252 40.59894914082915)"
"Park with Dog Run; No Off Leash (2403)","B","301","33","B114",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","94","Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave.","Msgr. McGolrick Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign",,"30213","Yiddish","11222","POINT (-73.94256239667543 40.724613230067156)"
"Athletic Field / Court - Hours (1500)","B","312","44","B128",,"XX-006","Chain Link Fence - 2""",,,"B-12","66","Ave. P bet. E. 4 St. and Ocean Pkwy.","Colonel David Marcus Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"30860","Yiddish","11230","POINT (-73.96966799933438 40.609891792523435)"
"Park without Dog Run; Off-Leash OK (2402)","B","306","38","B077",,"XX-001","Wrought Iron / Steep Picket Fence",,"B077-01","B-06","76","Verona St. bet. Richard St. and Dwight St.","Coffey Park","Spanish","2402","2402-001","Installed","Consolidated Rules Sign","Coffey Park Playground","29704","French","11231","POINT (-74.00898961272136 40.67669953078742)"
"Athletic Field / Court - Hours (1500)","B","308","41","B054",,"XX-007","Chain Link Fence - 2""",,"B054-ZN01","B-08","77","Eastern Pkwy., E. New York Ave. bet. Rochester Ave. and Portal St.","Lincoln Terrace / Arthur S. Somers Park","Spanish","1500","1500-007","Installed","Consolidated Rules Sign","Lincoln Terr Pk/Arthur S Somers Zone 1","29846","French Creole","11213","POINT (-73.92755592944742 40.66581403007325)"
"Athletic Field / Court - Hours (1500)","Q","405","30","Q020",,"XX-005","Chain Link Fence - 2""",,"Q020-ZN01","Q-05A","104","Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy","Highland Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Highland Park Zone 1",,"Chinese","11385","POINT (-73.89052866329621 40.68812283230161)"
"Trail With Hours / Exterior (3201)","Q","414","31","Q309",,"XX-008","None / Free Standing",,"Q309-ZN01","Q-14","101","Mott Basin to the City Line","Jamaica Bay Park","Spanish","3201","3201-008","Installed","Consolidated Rules Sign","Jamaica Bay Park Zone 1",,"Russian","11691","POINT (-73.76385392547283 40.61141442728171)"
"Playground - Adults Allowed (2600)","X","203","17","X273","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001",,,,"X-03","42","Longfellow Av bet. E 173 St and E 174 St","Rock Garden Park","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"34009","French","10460","POINT (-73.88570018567627 40.83528898555474)"
"Existing Routed Sign","B","306","39","B326",,"XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","76","Clinton St. between Verandah Pl. and Congress St.","Cobble Hill Park","Spanish",,,"Installed","Routed Sign",,"29862","French","11201","POINT (-73.99561146632537 40.6878971481193)"
"Tennis Courts Hours (3100)","M","110","9","M159",,"XX-001","Chain Link Fence - 2""",,,"M-10","32","7 Ave. bet. W. 150 St. and W. 151 St.","Frederick Johnson Playground","Spanish","3100","3100-001","Installed","Consolidated Rules Sign",,"34505","French","10039","POINT (-73.93514751909964 40.82462736485324)"
"Park with Dog Run; No Off Leash (2403)","B","301","33","B114",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","94","Russell St., Monitor St. bet. Nassau Ave. and Driggs Ave.","Msgr. McGolrick Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign",,"30191","Yiddish","11222","POINT (-73.94273935097077 40.725688398862445)"
"Athletic Field / Court - Hours (1500)","R","595","50","R046",,,"Chain Link Fence - 2""",,"R046-ZN05","R-02B","122","Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.","Franklin D. Roosevelt Boardwalk and Beach",,"1500","1500","Installed","Consolidated Rules Sign","Midland Beach Zone 5","32113",,"10305","POINT (-74.08846012193392 40.57232222307787)"
"Comfort Station – W + Accessible + Family (1811)","X","203","17","X010",,"XX-001","Wall",,"X010-ZN01","X-03","42","Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona Park","Spanish","1811","1811-001","Installed","Consolidated Rules Sign","Crotona Park Lake","33235","French","10457","POINT (-73.89346237925582 40.83818891682077)"
"Comfort Station  – M (1800)","X","212","12","X141",,"XX-001","Wall",,,"X-12","47","E. 226 St. bet. White Plains Rd. and Barnes Ave.","Rienzi Playground","Spanish","1800","1800-001","Installed","Consolidated Rules Sign",,"32875","French","10466","POINT (-73.85879195131616 40.887597378856974)"
"Playground - Adults Allowed (2600)","B","317","41","B304","6:00 a.m. to 9:00 p.m.","XX-007","Wrought Iron / Steep Picket Fence",,,"B-17","67","E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.","Kennedy King Playground","Spanish","2600","2600-007","Installed","Consolidated Rules Sign",,"30550","French Creole","11212","POINT (-73.9222695482538 40.65837285134604)"
"GT Garden (2000)","B","307","39","B414",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-07","72","E. 4 St. between Caton Ave. and Fort Hamilton Pkwy.","E 4th Street Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","11218","POINT (-73.97729154293353 40.648263322867436)"
"Existing Routed Sign","M","106","2","M227",,"XX-005","Chain Link Fence - 2""",,,"M-06","13","E. 20 St. To E. 21 St., 1 Ave. To 2 Ave.","Peter's Field","Spanish",,,"Installed","Routed Sign",,"47996","Chinese","10010","POINT (-73.98192499771639 40.736243539518846)"
"Park without Dog Run; No Off-Leash (2401)","X","212","12","X196",,"XX-001","Wall",,,"X-12","47","Hammersley Ave. to Burke Ave. bet. Ely Ave. and Gunther Ave.","Haffen Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10469","POINT (-73.8402980057106 40.873305663559044)"
"Athletic Field / Court - Hours (1500)","M","103","2","M270",,"XX-005",,,,"M-03","9","Szold Pl., E. 10 St., Ave. D","Dry Dock Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"48469","Chinese","10009","POINT (-73.97502030018931 40.72554486428844)"
"Playground - Adults Allowed (2600)","B","315","46","B235","6:00 a.m. to 9:00 p.m.","XX-015","Chain Link Fence - 2""",,,"B-15","61","Ave. V between Nostrand Ave. and Batchelder St.","Herman Dolgon Playground","Chinese","2600","2600-015","Installed","Consolidated Rules Sign",,"31352","Russian","11229","POINT (-73.94041478850416 40.59825659032224)"
"Skate Park - Unstaffed - Hours (3001)","X","201","8","X138",,"XX-001","Chain Link Fence - 2""",,,"X-01","40","E. 133 St. and Bruckner Blvd. bet. St Ann's Pl. and Cypress Ave.","Playground One Thirty Four CXXXIV","Spanish","3001","3001-001","Installed","Consolidated Rules Sign",,,"French","10454","POINT (-73.91774249093254 40.80348073942089)"
"Park without Dog Run; No Off-Leash (2401)","Q","411","20","Q300A",,"XX-016","None / Free Standing",,"Q300A-ZN03","Q-08","111","Peck & Underhill Aves, Utopia Pkwy, Horace Harding","Kissena Corridor Park","Chinese","2401","2401-016","Installed","Consolidated Rules Sign","Kissena Corridor East Zone 3",,"Korean","11365","POINT (-73.7836910842881 40.74353235911912)"
"Playground - Adults Allowed (2600)","X","206","15","X280","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence",,,"X-06","48","E 183 St bet. Washington Av and Park Av","Washington Park","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,,"French","10458","POINT (-73.89325601789223 40.85601197707829)"
"Tennis Courts Hours (3100)","Q","413","31","Q008",,"XX-007","Chain Link Fence - 1 3/4""",,"Q008-ZN02","Q-13","105","S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","Brookville Park","Spanish","3100","3100-007","Installed","Consolidated Rules Sign","Brookville Park Zone 2","49259","French Creole","11422","POINT (-73.74446928197638 40.66207202059193)"
