"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.77076855341193 40.763193230009776, -73.77069545559739 40.763041907370315))","98231","Q","435690409540409590","BELL BOULEVARD","41 AVENUE","41 ROAD","LINESTRING (1047695.2417999953 217559.78450000286, 1047751.1635999978 217411.69730000198, 1047771.5574000031 217356.61879999936)","8","GOOD","2023-01-16T00:00:00.000","58.7328548701"
"MULTILINESTRING ((-73.8178537914589 40.69608405401759, -73.81701296055223 40.69632611127145))","151468","Q","428890421940422040","ATLANTIC AVENUE","131 STREET","132 STREET","LINESTRING (1034750.5929999948 192952.32780000567, 1034983.7388000041 193040.37559999526)","9","GOOD","2023-05-26T00:00:00.000","249.28014969"
"MULTILINESTRING ((-74.12959766107757 40.60577760544118, -74.12999990847757 40.60573570911108))","9539","S","555100530650543260","WESTWOOD AVENUE","GRAVES STREET","PERRY AVENUE","LINESTRING (948264.27920000255 160004.130400002, 948152.56360000372 159989.03200000525)","8","GOOD","2023-01-04T00:00:00.000","112.731259931"
"MULTILINESTRING ((-73.7709690256814 40.7636000906967, -73.77076855341193 40.763193230009776))","98228","Q","435690409540409590","BELL BOULEVARD","41 AVENUE","41 ROAD","LINESTRING (1047695.2417999953 217559.78450000286, 1047751.1635999978 217411.69730000198, 1047771.5574000031 217356.61879999936)","8","GOOD","2023-01-16T00:00:00.000","158.294240324"
"MULTILINESTRING ((-74.11897222826491 40.60653813384542, -74.11912585761509 40.60652377077509))","9005171","S","555100529343535490","WESTWOOD AVENUE","FRANKLIN PLACE","LA GUARDIA AVENUE","LINESTRING (951446.05419999361 160305.04180000722, 951419.86579999328 160301.86560000479, 951396.50730000436 160299.0326000005, 951375.53020000458 160296.48839999735, 951336.72329999506 160291.78180000186, 951314.31559999287 160289.06419999897, 951281.69","9","GOOD","2022-11-14T00:00:00.000","42.9779755082"
"MULTILINESTRING ((-73.88508162437029 40.82286844377769, -73.88492853961 40.822888723381574))","297542","X","215920208630264745","BRUCKNER BOULEVARD","AMTRAK RR","BODY OF WATER","MULTILINESTRING ((1016199.2709999979 239116.4076000005, 1016098.2856000066 239098.66120000184, 1016055.9262000024 239091.21719999611, 1015908.9461999983 239064.09119999409, 1015641.2880000025 239017.69050000608), (1016240.7275999933 238994.88220000267, 1","8","GOOD","2017-08-29T00:00:00.000","43.0085096789"
"MULTILINESTRING ((-73.86635554693986 40.83187448379254, -73.86654676634481 40.832950292990596))","85938","X","211820226820276950","BEACH AVENUE","EAST 172 STREET","WESTCHESTER AVENUE","LINESTRING (1021233.7275000066 242379.79639999568, 1021180.2137999982 242771.67219999433)","6","FAIR","2019-09-14T00:00:00.000","395.512779456"
"MULTILINESTRING ((-73.8178824423025 40.69614220955724, -73.81704100024832 40.69638254606549))","56478","Q","428890421940422040","ATLANTIC AVENUE","131 STREET","132 STREET","LINESTRING (1034750.5929999948 192952.32780000567, 1034983.7388000041 193040.37559999526)","9","GOOD","2023-05-26T00:00:00.000","249.217533783"
"MULTILINESTRING ((-74.08165220387926 40.627351029465316, -74.08183352446119 40.62740084339615, -74.08202428403811 40.627435125340035, -74.08222094333273 40.627452545011316, -74.08241960096365 40.627452402770885, -74.08261621693812 40.627434701511405, -74.0828068916078 40.627400146457596, -74.0829880889834 40.627350072961036))","114955","S","552550524950550750","VAN DUZER STREET","COURT STREET","TARGEE STREET","LINESTRING (961766.81730000675 167843.58300000429, 961584.74099999666 167847.83820000291, 961534.42620000243 167866.03380000591, 961481.48659999669 167878.57299999893, 961426.90340000391 167884.97069999576, 961371.75920000672 167884.97069999576, 961317.1","7","FAIR","2023-04-22T00:00:00.000","380.874251198"
"MULTILINESTRING ((-73.88785196359488 40.87211417601248, -73.88772020779088 40.872006214346996))","176366","X","212220236420270720","BEDFORD PARK BOULEVARD","GRAND CONCOURSE","VALENTINE AVENUE","LINESTRING (1015266.2099999934 257032.29279999435, 1015302.6993999928 256993.00480000675, 1015507.4365999997 256770.05580000579, 1015525.2645999938 256751.755400002)","8","GOOD","2022-08-02T00:00:00.000","53.6192433305"
"MULTILINESTRING ((-73.88488675386102 40.86928333396317, -73.88470894119715 40.86870471805211))","291637","X","212220249420258020","BEDFORD PARK BOULEVARD","MARION AVENUE","PERRY AVENUE","LINESTRING (1016065.8770000041 256094.69959999621, 1016087.6377999932 256001.97020000219, 1016137.0939999968 255791.22259999812)","8","GOOD","2018-11-07T00:00:00.000","216.472784955"
"MULTILINESTRING ((-73.88785196359488 40.87211417601248, -73.88772020779088 40.872006214346996))","176366","X","212220236420270720","BEDFORD PARK BOULEVARD","GRAND CONCOURSE","VALENTINE AVENUE","LINESTRING (1015266.2099999934 257032.29279999435, 1015302.6993999928 256993.00480000675, 1015507.4365999997 256770.05580000579, 1015525.2645999938 256751.755400002)","9","GOOD","2022-08-02T00:00:00.000","53.6192433305"
"MULTILINESTRING ((-73.75699450241162 40.60011853657569, -73.75740224662519 40.60002408638429))","106711","Q","437390430340436890","BROOKHAVEN AVENUE","BEACH 22 STREET","BRIAR PLACE","LINESTRING (1051988.5303999931 157907.39900000393, 1051974.429399997 157935.72900000215, 1051974.3998000026 157935.78479999304, 1051974.3638000041 157935.83400000632, 1051954.5048000067 157962.84180000424, 1051929.0357999951 157986.85439999402, 1051928.9","8","GOOD","2022-12-02T00:00:00.000","118.342129627"
"MULTILINESTRING ((-73.82582874554089 40.694669399031376, -73.8257009479114 40.69466625636959, -73.82557313815082 40.69466911187451, -73.82544580369839 40.69467795547915, -73.82531942614193 40.69469275279611, -73.82519448594165 40.69471344872639, -73.82507145770985 40.6947399629498, -73.82495081019526 40.694772196228264, -73.82483300156271 40.69481002589612))","151622","Q","428890421540454102","ATLANTIC AVENUE","123 STREET","LONG ISLAND RAILROAD","LINESTRING (1032564.8232000023 192367.29970000684, 1032548.0046000034 192363.67560000718, 1032535.3612000048 192360.95129999518)","8","GOOD","2017-12-21T00:00:00.000","283.657081176"
"MULTILINESTRING ((-74.13329973549978 40.62460200551516, -74.13205434724847 40.62366141665496))","9478","S","552875534850541877","VELTMAN AVENUE","JEWETT AVENUE","ORDELL AVENUE","LINESTRING (947246.75190000236 166863.88680000603, 947591.94779999554 166520.68219999969)","6","FAIR","2023-06-20T00:00:00.000","486.774698231"
"MULTILINESTRING ((-73.88400107618789 40.85505709182264, -73.88381484414593 40.85542267512378))","113611","X","212020227300227330","BEAUMONT AVENUE","EAST 188 STREET","EAST 189 STREET","LINESTRING (1016541.3452000022 251173.1018999964, 1016390.8007999957 250952.39059999585, 1016339.4591999948 250819.1263999939)","8","GOOD","2023-07-26T00:00:00.000","142.812138465"
"MULTILINESTRING ((-74.12003263030068 40.60643640511305, -74.12012639237888 40.60642819704787))","9005192","S","555100516180537850","WESTWOOD AVENUE","AREA PLACE","MANOR ROAD","LINESTRING (950920.553399995 160240.36360000074, 950894.51440000534 160237.40880000591, 950866.63819999993 160234.24539999664, 950789.98700000346 160225.54700000584, 950762.28079999983 160222.40299999714, 950673.96920000017 160212.38120000064)","9","GOOD","2022-11-14T00:00:00.000","26.2061130935"
"MULTILINESTRING ((-73.90005125710323 40.75035255628664, -73.89971252899454 40.75020381246574))","75590","Q","437290412940412940","BROADWAY","62 STREET","62 STREET","LINESTRING (1011942.9326000065 212666.13300000131, 1012036.8463999927 212612.04839999974)","9","GOOD","2023-02-16T00:00:00.000","108.374101081"
"MULTILINESTRING ((-73.82284988842406 40.69532317437533, -73.82110372115423 40.69582149258747))","56301","Q","428890421640421740","ATLANTIC AVENUE","125 STREET","127 STREET","LINESTRING (1033373.7421000004 192651.10480000079, 1033857.5830000043 192833.64049999416)","9","GOOD","2023-05-26T00:00:00.000","517.127932226"
"MULTILINESTRING ((-73.82110372115423 40.69582149258747, -73.82084297291058 40.69589003937477))","170316","Q","428890421740421840","ATLANTIC AVENUE","127 STREET","129 STREET","LINESTRING (1034148.3894000053 192847.82359999418, 1034146.7688000053 192848.30259999633, 1034101.8869999945 192861.58349999785, 1034101.8608999997 192861.58980000019, 1034053.1108999997 192869.24400000274, 1034053.0813000053 192869.24750000238, 1034036.","9","GOOD","2023-05-26T00:00:00.000","76.4963812926"
"MULTILINESTRING ((-73.92329323406139 40.8050703832707, -73.92238751265535 40.80469539196888))","69890","X","215920200489215820","BRUCKNER BOULEVARD","WILLIS AVENUE BRIDGE EXIT RAMP","BROWN PLACE","LINESTRING (1005485.7916000038 232595.18140000105, 1005736.6557999998 232458.77979999781)","8","GOOD","2023-07-14T00:00:00.000","285.549020876"
"MULTILINESTRING ((-73.92749145435829 40.80683937969645, -73.92543293274818 40.80598287301048))","258679","X","215920208120210030","BRUCKNER BOULEVARD","ALEXANDER AVENUE","WILLIS AVENUE BRIDGE","LINESTRING (1004323.0072000027 233238.69939999282, 1004893.1464000046 232927.12219999731, 1004919.3745999932 232912.78869999945)","8","GOOD","2023-07-14T00:00:00.000","649.722293704"
"MULTILINESTRING ((-73.92954503317425 40.807704104923694, -73.92749145435829 40.80683937969645))","69575","X","215920208120246320","BRUCKNER BOULEVARD","ALEXANDER AVENUE","LINCOLN AVENUE","LINESTRING (1003754.2484000027 233553.28540000319, 1004323.0072000027 233238.69939999282)","8","GOOD","2023-07-14T00:00:00.000","649.962248119"
"MULTILINESTRING ((-73.91887237070947 40.803274253668874, -73.91850856827824 40.803228295836306))","173558","X","215920200004225650","BRUCKNER BOULEVARD","RFK BRIDGE ENTRANCE RAMP","EAST 133 STREET","LINESTRING (1006679.1985000074 231956.18940000236, 1006710.2858999968 231941.89100000262, 1006811.0204000026 231925.24070000648, 1007148.2507999986 231922.62279999256, 1007196.2166000009 231922.4849999994)","9","GOOD","2018-10-02T00:00:00.000","102.101282957"
"MULTILINESTRING ((-74.18303786677068 40.63326661675512, -74.18622439530043 40.63050818475378))","292607","S","554940529795552267","WESTERN AVENUE","GOETHALS ROAD NORTH","UNNAMED STREET","LINESTRING (933446.34299999475 170045.55959999561, 932559.76070000231 169042.4552000016)","9","GOOD","2019-08-07T00:00:00.000","1338.74815105"
"MULTILINESTRING ((-73.88709505463919 40.8226027241276, -73.88698003688837 40.82261725803019))","175711","X","215920208630264625","BRUCKNER BOULEVARD","AMTRAK RR","SHERIDAN EXPRESSWAY","LINESTRING (1015641.2880000025 239017.69050000608, 1015530.6213999987 238999.01739999652, 1015498.7947999984 238993.68119999766)","9","GOOD","2013-08-21T00:00:00.000","32.270845945"
"MULTILINESTRING ((-74.08459576614554 40.644025663554295, -74.08414352447225 40.643430896649846))","16209","S","554950525100525400","WESTERVELT AVENUE","CRESCENT AVENUE","CURTIS PLACE","LINESTRING (960773.52539999783 173923.62970000505, 960898.82039999962 173706.81910000741)","9","GOOD","2023-08-03T00:00:00.000","250.411008737"
"MULTILINESTRING ((-74.14342801948813 40.558172746568054, -74.14303871169622 40.558474179170794))","6803","S","570267570104570284","REDWOOD AVENUE","EVERGREEN STREET","SANDALWOOD DRIVE","LINESTRING (944864.73880000412 143041.49760000408, 944653.94859999418 142893.5286000073, 944503.92960000038 142776.14020000398, 944395.57320000231 142666.49819999933)","6","FAIR","2019-09-04T00:00:00.000","154.150827392"
"MULTILINESTRING ((-74.08507206416702 40.64464951651169, -74.08459576614554 40.644025663554295))","16218","S","554950523320525400","WESTERVELT AVENUE","CLEVELAND STREET","CURTIS PLACE","LINESTRING (960641.56700000167 174151.04399999976, 960773.52539999783 173923.62970000505)","9","GOOD","2023-08-03T00:00:00.000","262.926383559"
"MULTILINESTRING ((-73.82526148075428 40.8736245860958, -73.82447227154977 40.87368956627472))","185192","X","212425212600221125","BELLAMY LOOP","BENCHLEY PLACE","CO-OP CITY BOULEVARD","LINESTRING (1032342.4153999984 257663.96170000732, 1032376.9625999928 257643.36779999733, 1032414.3838 257626.97030000389, 1032453.8817999959 257615.31000000238, 1032494.5346000046 257608.72869999707, 1032535.3677999973 257607.32129999995, 1032575.423600","9","GOOD","2023-06-28T00:00:00.000","219.542784983"
"MULTILINESTRING ((-73.86359868710369 40.82002654088599, -73.86388320868876 40.82127003066115))","9004160","X","211820245120264220","BEACH AVENUE","LAFAYETTE AVENUE","SEWARD AVENUE","LINESTRING (1021923.9063999951 238517.26479999721, 1022003.3605999947 238064.33959999681, 1022007.3322000057 238041.70000000298, 1022061.1568000019 237734.87479999661)","6","FAIR","2023-01-25T00:00:00.000","459.841501708"
"MULTILINESTRING ((-74.12092053912905 40.606358667921654, -74.12192645451302 40.60630455542949))","12356","S","555100527520537850","WESTWOOD AVENUE","ELVIN STREET","MANOR ROAD","LINESTRING (950673.96920000017 160212.38120000064, 950394.62919999659 160193.05380000174)","8","GOOD","2023-01-04T00:00:00.000","280.007828449"
"MULTILINESTRING ((-73.88979564780112 40.848608090184506, -73.88923948963188 40.84947121993018))","78842","X","212520227060227090","BELMONT AVENUE","EAST 180 STREET","EAST 181 STREET","LINESTRING (1014739.4297000021 248467.44140000641, 1014892.9003999978 248782.10619999468)","8","GOOD","2023-04-21T00:00:00.000","350.095975568"
"MULTILINESTRING ((-74.18776935713403 40.520377685627615, -74.18822655671073 40.52020128023737))","291354","S","552873525908570068","VEITH PLACE","DEAD END","CORNELIA AVENUE","LINESTRING (932080.87379999459 128938.26839999855, 932044.920599997 128920.18739999831, 931917.668599993 128856.19179999828)","7","FAIR","2022-12-28T00:00:00.000","142.437734903"
"MULTILINESTRING ((-73.90297758906677 40.76387998506398, -73.90245152072474 40.76260418291699))","75669","Q","437395407240407340","BROOKLYN QNS EXPRESSWAY","25 AVENUE","26 AVENUE","LINESTRING (1011126.6712000072 217593.70180000365, 1011272.9176000059 217129.04719999433)","6","FAIR","2022-08-12T00:00:00.000","487.126171359"
"MULTILINESTRING ((-74.07629925093707 40.63396173008584, -74.07653707258065 40.63346171167104))","16405","S","552550530500538241","VAN DUZER STREET","GRANT STREET","MARGO LOOP","LINESTRING (963072.72679999471 170254.95280000567, 963006.55900000036 170072.84020000696)","8","GOOD","2022-12-17T00:00:00.000","193.760617346"
"MULTILINESTRING ((-73.88800539932838 40.850976102831424, -73.88723206813496 40.85248422853484))","79034","X","212520227120227150","BELMONT AVENUE","EAST 182 STREET","EAST 183 STREET","LINESTRING (1015233.6213999987 249330.82569999993, 1015446.8581999987 249880.56739999354)","7","FAIR","2022-10-22T00:00:00.000","589.648937577"
"MULTILINESTRING ((-73.8833883661195 40.85817499303494, -73.882899481848 40.85875540470845))","80397","X","212520200476229220","BELMONT AVENUE","FORDHAM UNIVERSITY PATH","EAST FORDHAM ROAD","LINESTRING (1016642.3981000036 252166.96799999475, 1016507.4443999976 251955.32160000503, 1016484.4818000048 251915.1182000041, 1016473.5698000044 251902.63140000403)","8","GOOD","2022-11-26T00:00:00.000","251.011353875"
"MULTILINESTRING ((-73.89564469771857 40.74847370516042, -73.89540933887879 40.7483738587093))","270612","Q","437290415340428020","BROADWAY","72 STREET","AMTRAK RAILROAD","LINESTRING (1013164.6785999984 211983.03139999509, 1013229.9350000024 211946.73199999332, 1013266.9035000056 211926.16779999435, 1013676.9580000043 211698.66449999809)","5","FAIR","2022-04-28T00:00:00.000","74.6729146476"
"MULTILINESTRING ((-74.0878337551263 40.615317649782924, -74.08785144084254 40.61524323609485, -74.08785147607945 40.615243073073565, -74.08785147587916 40.6152429208856, -74.08784843069881 40.61516487502728, -74.08784843050802 40.615164730043475, -74.0878483830262 40.615164567985914, -74.0878234189499 40.615087935583986, -74.08782337150373 40.61508780054203, -74.0878233004589 40.61508769253376, -74.08777810235972 40.6150176214686, -74.08777800762043 40.615017467551766, -74.08777786680749 40.61501732357588, -74.08771657485039 40.61495785580646))","13418","S","552550531410554245","VAN DUZER STREET","HAMILTON STREET","WANDELL AVENUE","LINESTRING (959864.4523999989 163465.4226000011, 959859.5148999989 163438.31640000641, 959859.50509999692 163438.25720000267, 959859.50509999692 163438.20160000026, 959860.32209999859 163409.76659999788, 959860.32209999859 163409.71400000155, 959860.3350","7","FAIR","2022-12-17T00:00:00.000","141.212269554"
"MULTILINESTRING ((-73.90077097593324 40.81133014662476, -73.89899818893292 40.81259800235436))","137314","X","215920209640268920","BRUCKNER BOULEVARD","AUSTIN PLACE","TIMPSON PLACE","LINESTRING (1011718.3530000001 234882.0951000005, 1012208.558799997 235344.58100000024)","8","GOOD","2018-03-26T00:00:00.000","673.939859371"
